loss,accuracy
1.2220983505249023,0.4344230890274048
1.0392791032791138,0.5730769038200378
0.9342718720436096,0.6180769205093384
0.8212394714355469,0.676153838634491
0.7510890960693359,0.7105769515037537
0.6901374459266663,0.7513461709022522
0.6060625910758972,0.7817307710647583
0.5182518362998962,0.813076913356781
0.5321433544158936,0.8134615421295166
0.47782155871391296,0.8324999809265137
0.4299931526184082,0.8496153950691223
0.4299728572368622,0.8496153950691223
0.3711172044277191,0.8813461661338806
0.3484189808368683,0.8759615421295166
0.31272342801094055,0.8946154117584229
0.28953447937965393,0.9094230532646179
0.26726242899894714,0.9176923036575317
0.2610536217689514,0.9169231057167053
0.2330116331577301,0.9232692122459412
0.1794828176498413,0.9413461685180664
